Week_Start,LWO,LWC,LWH,LWL,WO,P,B,WH,MID,WL
2025-04-14,16813.5,18820.5,19386.75,16480.0,19058.5,17875.19,35988.38,19508.38,18055.0,16601.62
2025-04-21,19058.5,18218.5,19256.0,18116.25,18220.0,18662.31,37326.12,19209.88,18640.0,18070.12
2025-04-28,18220.0,19554.75,19589.0,17700.0,19403.25,18765.94,37380.38,19680.38,18735.88,17791.38
2025-05-05,19403.25,20204.5,20276.75,19103.75,20056.5,19747.06,39346.12,20242.38,19655.88,19069.38
2025-05-12,20056.5,20140.5,20547.0,19678.75,20526.5,20105.69,40597.38,20918.62,20484.5,20050.38
2025-05-19,20526.5,21400.25,21529.75,20520.5,21212.25,20994.25,41800.5,21280.0,20775.38,20270.75
2025-05-26,21212.25,20953.25,21562.25,20727.25,21212.5,21113.75,42486.75,21759.5,21342.0,20924.5
2025-06-02,21212.5,21376.75,21858.75,21071.5,21231.5,21379.88,42614.5,21543.0,21149.38,20755.75
2025-06-09,21231.5,21809.5,21935.0,21163.25,21743.75,21534.81,43003.88,21840.62,21454.75,21068.88
2025-06-16,21743.75,21651.25,22106.0,21471.0,21691.0,21743.0,43525.75,22054.75,21737.25,21419.75
2025-06-23,21691.0,21874.0,21999.25,21435.5,21766.75,21749.94,43392.62,21957.12,21675.25,21393.38
2025-06-30,21766.75,22740.25,22880.5,21738.25,22873.0,22281.44,44695.62,22957.38,22386.25,21815.12
2025-07-07,22873.0,22972.75,23102.5,22582.0,22974.5,22882.56,45766.88,23184.88,22924.62,22664.38
2025-07-14,22974.5,22959.0,23112.0,22779.75,22873.0,22956.31,45826.62,23046.88,22880.75,22714.62
2025-07-21,22873.0,23224.25,23320.75,22804.5,23247.0,23055.62,46134.0,23329.5,23071.38,22813.25
2025-07-28,23247.0,23421.25,23566.5,23108.0,23549.25,23335.69,46799.38,23691.38,23462.12,23232.88
2025-08-04,23549.25,22870.0,23845.0,22775.0,22987.0,23259.81,46636.62,23861.62,23326.62,22791.62
2025-08-11,22987.0,23713.75,23773.0,22947.75,23754.75,23355.38,46751.75,23804.0,23391.38,22978.75
2025-08-18,23754.75,23804.0,24068.5,23587.5,23857.25,23803.69,47660.62,24073.12,23832.62,23592.12
2025-08-25,23857.25,23569.75,23860.0,23035.0,23547.0,23580.5,47138.25,24103.25,23690.75,23278.25
2025-09-08,23547.0,23673.75,23902.0,23025.75,23754.0,23537.12,47154.5,24128.75,23690.62,23252.5
2025-09-15,23754.0,24115.25,24159.0,23724.5,24121.25,23938.19,47882.38,24157.88,23940.62,23723.38
2025-09-22,24121.25,24861.0,24888.0,24076.0,24855.75,24486.56,48967.88,24891.88,24485.88,24079.88
2025-09-29,24855.75,24726.5,25027.25,24422.5,24815.0,24758.0,49604.5,25182.0,24879.62,24577.25
2025-10-06,24815.0,24982.0,25196.5,24633.25,25083.25,24906.69,49914.62,25281.38,24999.75,24718.12
2025-10-13,25083.25,24397.0,25394.0,24158.5,24778.25,24758.19,49897.62,25739.12,25121.38,24503.62
2025-10-20,24778.25,24986.5,25179.5,24410.25,25095.75,24838.62,49786.5,25376.25,24991.62,24607.0
2025-10-27,25095.75,25509.25,25773.0,24804.75,25760.25,25295.69,50842.38,26037.62,25553.5,25069.38
2025-11-03,25760.25,26004.0,26399.0,25753.25,26085.0,25979.12,52039.25,26286.0,25963.12,25640.25
2025-11-10,26085.0,25166.25,26266.0,24709.25,25466.75,25556.62,51413.75,26704.5,25926.12,25147.75
2025-11-17,25466.75,25140.0,25830.0,24626.5,25275.25,25265.81,50666.88,26040.38,25438.62,24836.88
2025-11-24,25275.25,24347.5,25361.25,23904.5,24452.0,24722.12,49548.75,25644.25,24915.88,24187.5
2025-12-01,24452.0,25235.25,25524.25,24361.75,25231.0,24893.31,49782.38,25420.62,24839.38,24258.12
2025-12-08,25231.0,25732.0,25868.0,25193.25,25798.25,25506.06,51078.38,25885.12,25547.75,25210.38
2025-12-15,25798.25,25213.5,25870.75,25118.0,25269.25,25500.12,51056.0,25938.0,25561.62,25185.25
2025-12-22,25269.25,25590.75,25699.25,24756.25,25680.25,25328.88,50747.25,25991.0,25519.5,25048.0
